          1   2   3   4   5   6   7   8   9  10

 1        O   O   O   O   O   O   O   O   O   O
 2        O   O   O   O   *   *   O   O   O   O
 3        O   *   O   O   O   O   O   O   O   O
 4        O   *   O   O   O   O   O   O   O   O
 5        O   *   O   O   O   O   O   O   O   O
 6        O   O   O   O   O   O   O   O   O   O
 7        O   *   O   O   O   O   O   O   O   O
 8        O   *   O   O   O   O   O   O   O   O
 9        O   O   O   O   O   O   O   O   O   O
10        O   O   O   O   O   O   O   O   O   O
